dataType,accelX,accelY,accelZ
0,23.94,-979.11,40.22
0,14.37,-981.02,42.86
0,17.60,-979.47,41.78
0,16.40,-978.99,37.11
0,13.29,-973.48,47.52
0,19.63,-978.87,43.22
0,19.03,-978.99,38.07
0,18.79,-979.95,41.66
0,17.96,-979.23,39.38
0,14.96,-978.39,42.86
0,15.56,-978.39,41.30
0,18.32,-978.27,39.15
0,16.88,-979.59,39.03
0,16.64,-978.51,40.46
0,16.64,-978.15,40.58
0,15.32,-978.15,40.10
0,17.12,-979.35,39.98
0,16.64,-978.39,41.06
0,15.44,-978.75,39.74
0,16.40,-978.51,40.22
0,15.20,-978.51,39.50
0,16.88,-978.99,40.22
0,16.40,-979.11,40.34
0,15.32,-977.91,38.79
0,16.64,-977.79,39.98
0,14.84,-979.23,39.03
0,18.56,-977.07,42.74
0,19.75,-978.63,41.78
0,17.72,-977.91,39.38
0,19.39,-976.36,44.53
0,13.89,-975.88,43.81
0,20.11,-973.24,35.55
0,16.52,-979.23,41.30
0,16.88,-977.31,45.49
0,20.95,-977.79,40.94
0,13.53,-979.11,34.96
0,20.11,-978.03,42.26
0,10.41,-984.97,39.86
0,9.22,-975.88,37.71
0,14.72,-978.75,35.91
0,16.64,-981.74,41.18
0,17.96,-980.19,42.74
0,17.24,-978.27,41.30
0,19.63,-979.59,40.22
0,19.27,-977.55,39.86
0,16.04,-978.27,45.73
0,16.88,-978.75,44.65
0,17.84,-977.79,39.50
0,17.96,-979.47,41.78
0,16.16,-979.59,43.69
0,18.44,-977.31,41.18
0,17.24,-979.59,40.82
0,17.60,-978.39,41.78
0,17.60,-978.39,43.81
0,15.80,-978.03,42.74
0,18.91,-979.11,40.58
0,17.96,-978.63,41.54
0,17.12,-979.35,42.74
0,18.08,-979.35,41.06
0,17.12,-979.47,41.54
0,18.08,-978.39,42.26
0,17.12,-978.87,42.74
0,17.60,-978.27,42.50
0,17.48,-978.27,40.34
0,16.28,-978.27,41.78
0,17.72,-978.87,42.74
0,16.16,-978.03,41.90
0,17.96,-978.39,42.02
0,16.64,-979.23,42.02
0,16.76,-978.99,42.14
0,17.72,-978.63,41.90
0,16.64,-978.27,41.18
0,18.08,-979.35,41.90
0,17.00,-977.91,42.14
0,17.36,-979.11,42.14
0,17.48,-979.11,41.30
0,17.72,-978.39,41.30
0,17.00,-979.23,42.50
0,16.64,-978.63,41.78
0,17.12,-979.11,42.50
0,17.00,-978.27,42.14
0,17.60,-978.27,41.66
0,17.12,-978.99,41.54
0,17.12,-978.03,42.38
0,17.36,-979.35,42.26
0,17.00,-978.39,42.26
0,17.60,-978.75,41.66
0,17.48,-979.11,41.90
0,17.60,-979.11,42.02
0,16.52,-978.63,42.38
0,17.48,-977.31,41.90
0,16.76,-978.03,41.42
0,17.36,-978.39,42.50
0,16.88,-978.27,41.54
0,18.20,-978.51,42.26
0,16.88,-978.51,42.14
0,16.52,-978.39,41.66
0,16.76,-978.27,42.26
0,16.76,-978.39,41.66
0,17.00,-977.91,42.26
0,16.76,-978.39,41.78
0,17.48,-978.39,42.14
0,17.48,-978.63,42.26
0,17.84,-977.79,41.90
0,17.24,-977.91,42.50
0,17.48,-977.91,41.90
0,17.60,-978.39,41.78
0,16.88,-978.15,41.78
0,16.64,-978.87,41.78
0,16.76,-978.27,42.02
0,18.20,-978.87,42.50
0,16.52,-979.71,42.62
0,17.60,-978.39,41.54
0,17.24,-979.11,41.90
0,17.00,-978.99,42.26
0,15.80,-979.35,40.82
0,19.03,-979.59,43.69
0,17.36,-977.91,40.94
0,24.54,-984.50,39.50
0,8.26,-979.47,50.40
0,18.08,-979.35,44.65
